"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000002550",709.132457084853,0.0401653932905313,0.104279507161034,0.385170532389511,0.700111074030101,0.867269573692797
"ENSMUSG00000002565",1.14554802152576,-0.761274752183142,2.90757952131665,-0.261824224101843,0.793456962231783,0.920887942364366
"ENSMUSG00000002578",0.604617062633433,-1.07556040956071,2.89472499949282,-0.371558752471879,0.710221404495408,NA
"ENSMUSG00000002580",1229.22094984397,-0.0453188043777507,0.115148089736268,-0.393569745547214,0.693898721641493,0.865458921106151
"ENSMUSG00000002588",0.530344681994388,1.49638181839227,3.29399667171921,0.454275449407565,0.64963058408566,NA
"ENSMUSG00000002602",2628.65836439009,-0.15238738528109,0.0930288012707804,-1.63806674061653,0.101407772125471,0.248812172986898
"ENSMUSG00000002603",5211.65255589565,-0.141031226064988,0.0819538043120582,-1.72086246939774,0.0852757833518257,0.219111387778996
"ENSMUSG00000002608",554.791754349001,0.433208902779946,0.117129259000625,3.69855411428525,0.000216831125588487,0.00189215840725803
"ENSMUSG00000002617",101.21911930492,-0.36791486464511,0.297787294128681,-1.23549550937565,0.216646146710981,0.423673754138811
"ENSMUSG00000002625",809.550460935881,0.12909882735924,0.0955049891107516,1.35174956367496,0.176455443706156,0.36844533956703
"ENSMUSG00000002635",630.72530057571,0.329412860577998,0.120578785892425,2.73193048130278,0.0062964425139523,0.0330920984398061
"ENSMUSG00000002658",1159.7962701917,-0.445648661053996,0.131152467403096,-3.39794340036547,0.000678944652228643,0.0048684015760581
"ENSMUSG00000002660",599.35656020736,0.0266952288283426,0.10944806506098,0.243907727500428,0.80730228422034,0.927101227120018
"ENSMUSG00000002661",202.67584667472,0.357467035948987,0.14901637878644,2.39884393152034,0.0164469229576871,0.0694675969673997
"ENSMUSG00000002664",0.596014548245936,-2.19218823169005,3.05467448325006,-0.717650356432624,0.472972900090658,NA
"ENSMUSG00000002668",411.93472137104,0.110869066171652,0.13426735193451,0.825733617102462,0.408955218029073,0.619122056754325
"ENSMUSG00000002679",654.321290741917,0.0248634657804268,0.105973831617756,0.234618918660113,0.814504524403991,0.927101227120018
"ENSMUSG00000002699",2517.21298535156,-0.667604694737217,0.105225900988422,-6.34449017272536,2.23163230948031e-10,6.07135260667436e-09
"ENSMUSG00000002718",881.664881324831,-0.156833496189129,0.156567697041567,-1.00169766275282,0.316489635863863,0.532992471235321
